project,target_class,test_case_1,test_case_2,topdown_subtree_size,topdown_similarity,bottomup_subtree_size,bottomup_similarity,combined_subtree_size,combined_similarity,redundancy_score
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,org.apache.commons.csv.CSVRecord_3_5Test,19,0.361905,12,0.228571,25,0.476190,0.523810
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,org.apache.commons.csv.CSVRecord_3_2Test,33,0.294643,30,0.267857,54,0.482143,0.517857
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,org.apache.commons.csv.CSVRecord_3_4Test,25,0.416667,15,0.250000,34,0.566667,0.433333
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_6Test,org.apache.commons.csv.CSVRecord_3_5Test,20,0.366972,15,0.275229,30,0.550459,0.449541
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_6Test,org.apache.commons.csv.CSVRecord_3_2Test,34,0.298246,51,0.447368,72,0.631579,0.368421
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_6Test,org.apache.commons.csv.CSVRecord_3_4Test,30,0.483871,20,0.322581,36,0.580645,0.419355
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_5Test,org.apache.commons.csv.CSVRecord_3_2Test,20,0.228571,16,0.182857,30,0.342857,0.657143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_5Test,org.apache.commons.csv.CSVRecord_3_4Test,20,0.563380,12,0.338028,24,0.676056,0.323944
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_2Test,org.apache.commons.csv.CSVRecord_3_4Test,22,0.231579,23,0.242105,41,0.431579,0.568421
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,org.apache.commons.csv.CSVRecord_5_6Test,51,0.935780,42,0.770642,54,0.990826,0.009174
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,org.apache.commons.csv.CSVRecord_5_3Test,13,0.298851,5,0.114943,16,0.367816,0.632184
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,org.apache.commons.csv.CSVRecord_5_4Test,24,0.241206,15,0.150754,35,0.351759,0.648241
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,org.apache.commons.csv.CSVRecord_5_2Test,29,0.453125,22,0.343750,34,0.531250,0.468750
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_1Test,org.apache.commons.csv.CSVRecord_5_5Test,32,0.410256,21,0.269231,38,0.487179,0.512821
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_6Test,org.apache.commons.csv.CSVRecord_5_3Test,13,0.309524,5,0.119048,16,0.380952,0.619048
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_6Test,org.apache.commons.csv.CSVRecord_5_4Test,24,0.244898,15,0.153061,34,0.346939,0.653061
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_6Test,org.apache.commons.csv.CSVRecord_5_2Test,29,0.464000,22,0.352000,32,0.512000,0.488000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_6Test,org.apache.commons.csv.CSVRecord_5_5Test,32,0.418301,21,0.274510,38,0.496732,0.503268
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_3Test,org.apache.commons.csv.CSVRecord_5_4Test,21,0.241379,11,0.126437,27,0.310345,0.689655
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_3Test,org.apache.commons.csv.CSVRecord_5_2Test,13,0.252427,7,0.135922,18,0.349515,0.650485
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_3Test,org.apache.commons.csv.CSVRecord_5_5Test,19,0.290076,10,0.152672,24,0.366412,0.633588
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_4Test,org.apache.commons.csv.CSVRecord_5_2Test,34,0.316279,23,0.213953,50,0.465116,0.534884
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_4Test,org.apache.commons.csv.CSVRecord_5_5Test,32,0.263374,32,0.263374,56,0.460905,0.539095
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_5_2Test,org.apache.commons.csv.CSVRecord_5_5Test,30,0.348837,26,0.302326,42,0.488372,0.511628
