project,target_class,test_case_1,test_case_2,topdown_subtree_size,topdown_similarity,bottomup_subtree_size,bottomup_similarity,combined_subtree_size,combined_similarity,redundancy_score
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,org.apache.commons.csv.CSVRecord_1_5Test,190,0.950000,161,0.805000,195,0.975000,0.025000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,org.apache.commons.csv.CSVRecord_1_2Test,124,0.729412,93,0.547059,132,0.776471,0.223529
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,org.apache.commons.csv.CSVRecord_1_6Test,148,0.725490,135,0.661765,168,0.823529,0.176471
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_3Test,org.apache.commons.csv.CSVRecord_1_4Test,196,0.814969,163,0.677755,197,0.819127,0.180873
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,org.apache.commons.csv.CSVRecord_1_5Test,99,0.632588,81,0.517572,110,0.702875,0.297125
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,org.apache.commons.csv.CSVRecord_1_2Test,93,0.735178,67,0.529644,100,0.790514,0.209486
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,org.apache.commons.csv.CSVRecord_1_6Test,89,0.554517,77,0.479751,103,0.641745,0.358255
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_1Test,org.apache.commons.csv.CSVRecord_1_4Test,99,0.502538,81,0.411168,110,0.558376,0.441624
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_5Test,org.apache.commons.csv.CSVRecord_1_2Test,123,0.723529,91,0.535294,132,0.776471,0.223529
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_5Test,org.apache.commons.csv.CSVRecord_1_6Test,152,0.745098,140,0.686275,173,0.848039,0.151961
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_5Test,org.apache.commons.csv.CSVRecord_1_4Test,194,0.806653,166,0.690229,200,0.831601,0.168399
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,org.apache.commons.csv.CSVRecord_1_6Test,107,0.614943,85,0.488506,126,0.724138,0.275862
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_2Test,org.apache.commons.csv.CSVRecord_1_4Test,123,0.584323,91,0.432304,132,0.627078,0.372922
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_1_6Test,org.apache.commons.csv.CSVRecord_1_4Test,185,0.756646,168,0.687117,212,0.867076,0.132924
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_2Test,87,0.865672,65,0.646766,89,0.885572,0.114428
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_1Test,94,0.964103,73,0.748718,96,0.984615,0.015385
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_6Test,77,0.709677,64,0.589862,89,0.820276,0.179724
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_5Test,87,0.865672,65,0.646766,89,0.885572,0.114428
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_3Test,org.apache.commons.csv.CSVRecord_9_4Test,53,0.650307,40,0.490798,61,0.748466,0.251534
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,org.apache.commons.csv.CSVRecord_9_1Test,89,0.890000,73,0.730000,90,0.900000,0.100000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,org.apache.commons.csv.CSVRecord_9_6Test,79,0.711712,73,0.657658,88,0.792793,0.207207
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,org.apache.commons.csv.CSVRecord_9_5Test,102,0.990291,103,1.000000,103,1.000000,0.000000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_2Test,org.apache.commons.csv.CSVRecord_9_4Test,53,0.630952,42,0.500000,58,0.690476,0.309524
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,org.apache.commons.csv.CSVRecord_9_6Test,78,0.722222,73,0.675926,90,0.833333,0.166667
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,org.apache.commons.csv.CSVRecord_9_5Test,89,0.890000,73,0.730000,90,0.900000,0.100000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_1Test,org.apache.commons.csv.CSVRecord_9_4Test,54,0.666667,43,0.530864,61,0.753086,0.246914
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_6Test,org.apache.commons.csv.CSVRecord_9_5Test,79,0.711712,73,0.657658,88,0.792793,0.207207
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_6Test,org.apache.commons.csv.CSVRecord_9_4Test,54,0.586957,44,0.478261,61,0.663043,0.336957
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_9_5Test,org.apache.commons.csv.CSVRecord_9_4Test,53,0.630952,42,0.500000,58,0.690476,0.309524
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_2Test,52,0.556150,46,0.491979,68,0.727273,0.272727
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_3Test,49,0.518519,43,0.455026,64,0.677249,0.322751
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_1Test,49,0.353791,43,0.310469,68,0.490975,0.509025
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_4Test,53,0.757143,40,0.571429,59,0.842857,0.157143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_5Test,org.apache.commons.csv.CSVRecord_4_6Test,48,0.432432,40,0.360360,65,0.585586,0.414414
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,org.apache.commons.csv.CSVRecord_4_3Test,111,0.948718,88,0.752137,112,0.957265,0.042735
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,org.apache.commons.csv.CSVRecord_4_1Test,100,0.621118,77,0.478261,112,0.695652,0.304348
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,org.apache.commons.csv.CSVRecord_4_4Test,51,0.551351,47,0.508108,68,0.735135,0.264865
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_2Test,org.apache.commons.csv.CSVRecord_4_6Test,94,0.704120,55,0.411985,96,0.719101,0.280899
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_3Test,org.apache.commons.csv.CSVRecord_4_1Test,105,0.648148,82,0.506173,118,0.728395,0.271605
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_3Test,org.apache.commons.csv.CSVRecord_4_4Test,48,0.513369,44,0.470588,64,0.684492,0.315508
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_3Test,org.apache.commons.csv.CSVRecord_4_6Test,91,0.676580,52,0.386617,92,0.684015,0.315985
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,org.apache.commons.csv.CSVRecord_4_4Test,48,0.349091,44,0.320000,66,0.480000,0.520000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_1Test,org.apache.commons.csv.CSVRecord_4_6Test,124,0.694678,91,0.509804,141,0.789916,0.210084
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_4_4Test,org.apache.commons.csv.CSVRecord_4_6Test,44,0.400000,36,0.327273,62,0.563636,0.436364
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_4Test,31,0.369048,25,0.297619,44,0.523810,0.476190
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_3Test,39,0.421622,36,0.389189,56,0.605405,0.394595
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_5Test,26,0.276596,28,0.297872,50,0.531915,0.468085
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_6Test,52,0.538860,49,0.507772,74,0.766839,0.233161
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_2Test,org.apache.commons.csv.CSVRecord_6_1Test,40,0.526316,39,0.513158,58,0.763158,0.236842
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_4Test,org.apache.commons.csv.CSVRecord_6_3Test,33,0.420382,25,0.318471,46,0.585987,0.414013
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_4Test,org.apache.commons.csv.CSVRecord_6_5Test,19,0.237500,15,0.187500,30,0.375000,0.625000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_4Test,org.apache.commons.csv.CSVRecord_6_6Test,34,0.412121,30,0.363636,47,0.569697,0.430303
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_4Test,org.apache.commons.csv.CSVRecord_6_1Test,28,0.451613,24,0.387097,38,0.612903,0.387097
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_3Test,org.apache.commons.csv.CSVRecord_6_5Test,26,0.293785,33,0.372881,52,0.587571,0.412429
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_3Test,org.apache.commons.csv.CSVRecord_6_6Test,46,0.505495,38,0.417582,60,0.659341,0.340659
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_3Test,org.apache.commons.csv.CSVRecord_6_1Test,34,0.482270,34,0.482270,45,0.638298,0.361702
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_5Test,org.apache.commons.csv.CSVRecord_6_6Test,24,0.259459,33,0.356757,52,0.562162,0.437838
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_5Test,org.apache.commons.csv.CSVRecord_6_1Test,27,0.375000,23,0.319444,38,0.527778,0.472222
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_6_6Test,org.apache.commons.csv.CSVRecord_6_1Test,42,0.563758,39,0.523490,52,0.697987,0.302013
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_1Test,34,0.548387,33,0.532258,48,0.774194,0.225806
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_2Test,27,0.394161,21,0.306569,40,0.583942,0.416058
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_6Test,14,0.304348,16,0.347826,26,0.565217,0.434783
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_5Test,31,0.534483,32,0.551724,48,0.827586,0.172414
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_3Test,org.apache.commons.csv.CSVRecord_2_4Test,31,0.553571,32,0.571429,47,0.839286,0.160714
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,org.apache.commons.csv.CSVRecord_2_2Test,32,0.397516,25,0.310559,46,0.571429,0.428571
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,org.apache.commons.csv.CSVRecord_2_6Test,37,0.637931,28,0.482759,38,0.655172,0.344828
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,org.apache.commons.csv.CSVRecord_2_5Test,40,0.571429,49,0.700000,66,0.942857,0.057143
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_1Test,org.apache.commons.csv.CSVRecord_2_4Test,38,0.558824,37,0.544118,51,0.750000,0.250000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,org.apache.commons.csv.CSVRecord_2_6Test,14,0.217054,14,0.217054,26,0.403101,0.596899
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,org.apache.commons.csv.CSVRecord_2_5Test,33,0.431373,22,0.287582,43,0.562092,0.437908
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_2Test,org.apache.commons.csv.CSVRecord_2_4Test,28,0.375839,20,0.268456,36,0.483221,0.516779
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_6Test,org.apache.commons.csv.CSVRecord_2_5Test,22,0.407407,22,0.407407,35,0.648148,0.351852
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_6Test,org.apache.commons.csv.CSVRecord_2_4Test,12,0.230769,15,0.288462,24,0.461538,0.538462
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_2_5Test,org.apache.commons.csv.CSVRecord_2_4Test,40,0.625000,40,0.625000,50,0.781250,0.218750
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_4Test,28,0.380952,29,0.394558,48,0.653061,0.346939
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_1Test,20,0.412371,24,0.494845,32,0.659794,0.340206
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_5Test,22,0.385965,23,0.403509,38,0.666667,0.333333
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_2Test,35,0.721649,30,0.618557,40,0.824742,0.175258
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_6Test,org.apache.commons.csv.CSVRecord_8_3Test,46,0.686567,39,0.582090,47,0.701493,0.298507
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_4Test,org.apache.commons.csv.CSVRecord_8_1Test,24,0.352941,30,0.441176,46,0.676471,0.323529
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_4Test,org.apache.commons.csv.CSVRecord_8_5Test,46,0.601307,38,0.496732,54,0.705882,0.294118
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_4Test,org.apache.commons.csv.CSVRecord_8_2Test,25,0.367647,26,0.382353,42,0.617647,0.382353
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_4Test,org.apache.commons.csv.CSVRecord_8_3Test,29,0.335260,35,0.404624,54,0.624277,0.375723
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,org.apache.commons.csv.CSVRecord_8_5Test,22,0.427184,31,0.601942,35,0.679612,0.320388
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,org.apache.commons.csv.CSVRecord_8_2Test,21,0.488372,25,0.581395,32,0.744186,0.255814
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_1Test,org.apache.commons.csv.CSVRecord_8_3Test,36,0.585366,31,0.504065,45,0.731707,0.268293
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_5Test,org.apache.commons.csv.CSVRecord_8_2Test,21,0.407767,24,0.466019,37,0.718447,0.281553
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_5Test,org.apache.commons.csv.CSVRecord_8_3Test,21,0.300000,30,0.428571,44,0.628571,0.371429
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_8_2Test,org.apache.commons.csv.CSVRecord_8_3Test,33,0.536585,29,0.471545,40,0.650407,0.349593
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_2Test,12,0.181818,9,0.136364,18,0.272727,0.727273
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_1Test,11,0.194690,10,0.176991,18,0.318584,0.681416
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_6Test,10,0.454545,8,0.363636,12,0.545455,0.454545
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_4Test,12,0.158940,10,0.132450,14,0.185430,0.814570
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_3Test,org.apache.commons.csv.CSVRecord_7_5Test,12,0.163265,9,0.122449,13,0.176871,0.823129
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,org.apache.commons.csv.CSVRecord_7_1Test,71,0.672986,54,0.511848,79,0.748815,0.251185
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,org.apache.commons.csv.CSVRecord_7_6Test,17,0.239437,17,0.239437,25,0.352113,0.647887
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,org.apache.commons.csv.CSVRecord_7_4Test,76,0.610442,77,0.618474,96,0.771084,0.228916
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_2Test,org.apache.commons.csv.CSVRecord_7_5Test,83,0.677551,75,0.612245,94,0.767347,0.232653
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,org.apache.commons.csv.CSVRecord_7_6Test,20,0.325203,16,0.260163,23,0.373984,0.626016
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,org.apache.commons.csv.CSVRecord_7_4Test,80,0.695652,67,0.582609,98,0.852174,0.147826
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_1Test,org.apache.commons.csv.CSVRecord_7_5Test,87,0.769912,68,0.601770,99,0.876106,0.123894
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_6Test,org.apache.commons.csv.CSVRecord_7_4Test,17,0.211180,17,0.211180,25,0.310559,0.689441
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_6Test,org.apache.commons.csv.CSVRecord_7_5Test,17,0.216561,16,0.203822,24,0.305732,0.694268
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_7_4Test,org.apache.commons.csv.CSVRecord_7_5Test,122,0.924242,100,0.757576,130,0.984848,0.015152
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_6Test,80,0.579710,67,0.485507,88,0.637681,0.362319
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_3Test,50,0.432900,44,0.380952,64,0.554113,0.445887
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_5Test,12,0.233010,8,0.155340,16,0.310680,0.689320
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_2Test,66,0.530120,53,0.425703,70,0.562249,0.437751
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_1Test,org.apache.commons.csv.CSVRecord_12_4Test,71,0.881988,60,0.745342,72,0.894410,0.105590
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,org.apache.commons.csv.CSVRecord_12_3Test,113,0.682779,101,0.610272,136,0.821752,0.178248
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,org.apache.commons.csv.CSVRecord_12_5Test,12,0.118227,8,0.078818,16,0.157635,0.842365
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,org.apache.commons.csv.CSVRecord_12_2Test,88,0.504298,93,0.532951,126,0.722063,0.277937
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_6Test,org.apache.commons.csv.CSVRecord_12_4Test,65,0.498084,53,0.406130,73,0.559387,0.440613
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_3Test,org.apache.commons.csv.CSVRecord_12_5Test,12,0.151899,8,0.101266,17,0.215190,0.784810
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_3Test,org.apache.commons.csv.CSVRecord_12_2Test,78,0.513158,73,0.480263,108,0.710526,0.289474
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_3Test,org.apache.commons.csv.CSVRecord_12_4Test,50,0.462963,43,0.398148,62,0.574074,0.425926
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_5Test,org.apache.commons.csv.CSVRecord_12_2Test,12,0.136364,7,0.079545,14,0.159091,0.840909
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_5Test,org.apache.commons.csv.CSVRecord_12_4Test,12,0.272727,8,0.181818,16,0.363636,0.636364
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_12_2Test,org.apache.commons.csv.CSVRecord_12_4Test,67,0.572650,56,0.478632,70,0.598291,0.401709
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,org.apache.commons.csv.CSVRecord_3_1Test,26,0.305882,23,0.270588,40,0.470588,0.529412
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,org.apache.commons.csv.CSVRecord_3_6Test,24,0.275862,24,0.275862,42,0.482759,0.517241
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,org.apache.commons.csv.CSVRecord_3_5Test,16,0.264463,13,0.214876,26,0.429752,0.570248
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,org.apache.commons.csv.CSVRecord_3_2Test,58,0.483333,46,0.383333,68,0.566667,0.433333
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_3Test,org.apache.commons.csv.CSVRecord_3_4Test,21,0.308824,24,0.352941,34,0.500000,0.500000
Csv_2,CSVRecord,org.apache.commons.csv.CSVRecord_3_1Test,org.apache.commons.csv.CSVRecord_3_6Test,31,0.392405,22,0.278481,46,0.582278,0.417722
